Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,9.432857,9.442500,9.082143,9.148929,7.755363,1133344800
2010-06-30,9.168214,9.213214,8.928929,8.983214,7.614890,739452000
2010-07-01,9.082143,9.100000,8.686429,8.874286,7.522554,1022896000
2010-07-02,8.946071,8.961786,8.685714,8.819286,7.475930,693842800
2010-07-06,8.964286,9.028571,8.791429,8.879643,7.527094,615235600
2010-07-07,8.946071,9.241786,8.919643,9.238214,7.831046,654556000
2010-07-08,9.374286,9.389286,9.103214,9.217500,7.813488,738144400
2010-07-09,9.174643,9.282143,9.112857,9.272143,7.859809,433322400
2010-07-12,9.233214,9.351786,9.102143,9.188929,7.789268,562878400
2010-07-13,9.154286,9.157143,8.801071,8.992857,7.623065,1190924000
2010-07-14,8.906429,9.135714,8.892857,9.026071,7.651219,812047600
2010-07-15,8.865357,9.177500,8.832143,8.980357,7.612468,824866000
2010-07-16,9.042143,9.106071,8.871786,8.925000,7.565541,1039858400
2010-07-19,8.924286,8.924286,8.557143,8.770714,7.434754,1024478000
2010-07-20,8.675000,9.032143,8.571786,8.996071,7.625787,1074950800
2010-07-21,9.467500,9.469643,9.071429,9.080000,7.696934,1185671200
2010-07-22,9.202857,9.285714,9.118214,9.250714,7.841642,645318800
2010-07-23,9.181786,9.299286,9.152857,9.283571,7.869498,533388800
2010-07-26,9.285714,9.289286,9.203929,9.260000,7.849514,420551600
2010-07-27,9.316786,9.457143,9.296429,9.431429,7.994835,584771600
2010-07-28,9.416786,9.499643,9.294643,9.320000,7.900375,519985200
2010-07-29,9.311071,9.380357,9.146429,9.218214,7.814095,643806800
2010-07-30,9.138929,9.275000,9.103571,9.187500,7.788057,448210000
2010-08-02,9.301429,9.378214,9.272143,9.351786,7.927320,428055600
2010-08-03,9.321786,9.402143,9.265000,9.354643,7.929743,417653600
2010-08-04,9.387143,9.438571,9.296786,9.392143,7.961531,420375200
2010-08-05,9.347500,9.399286,9.305357,9.346429,7.922778,289097200
2010-08-06,9.277857,9.338929,9.201071,9.288929,7.874039,444897600
2010-08-09,9.338571,9.362500,9.270357,9.348214,7.924293,303128000
2010-08-10,9.280357,9.301786,9.198214,9.264643,7.853449,451920000
2010-08-11,9.121429,9.131786,8.921786,8.935357,7.574321,620054400
2010-08-12,8.810357,9.039286,8.790000,8.992500,7.622759,534920400
2010-08-13,8.987500,8.995714,8.896071,8.896429,7.541323,354869200
2010-08-16,8.842143,8.928929,8.807857,8.844286,7.497125,318430000
2010-08-17,8.931429,9.093929,8.900000,8.998929,7.628210,422640400
2010-08-18,9.012857,9.095357,8.985000,9.038214,7.661509,339696000
2010-08-19,9.030000,9.052857,8.881429,8.924286,7.564936,426706000
2010-08-20,8.906786,9.068571,8.892857,8.915714,7.557672,384230000
2010-08-23,8.992500,9.000000,8.758929,8.778571,7.441415,414041600
2010-08-24,8.666786,8.678571,8.523214,8.568929,7.263707,602565600
2010-08-25,8.501429,8.713929,8.471429,8.674643,7.353317,596867600
2010-08-26,8.766071,8.776786,8.581429,8.581429,7.274303,466505200
2010-08-27,8.633929,8.664643,8.412857,8.629286,7.314871,548391200
2010-08-30,8.598571,8.776786,8.595714,8.660714,7.341513,383289200
2010-08-31,8.637500,8.734286,8.583929,8.682143,7.359678,420786800
2010-09-01,8.838214,8.980714,8.795714,8.940357,7.578558,697037600
2010-09-02,8.973571,9.006071,8.877500,9.006071,7.634266,415427600
2010-09-03,9.110357,9.242143,9.089286,9.241786,7.834073,520788800
2010-09-07,9.165714,9.268929,9.151786,9.207500,7.805010,342557600
2010-09-08,9.277857,9.442500,9.253571,9.390000,7.959712,526551200
2010-09-09,9.465714,9.518571,9.390000,9.395357,7.964253,438575200
2010-09-10,9.399643,9.446429,9.335714,9.407500,7.974550,387542400
2010-09-13,9.493571,9.581429,9.491429,9.537143,8.084446,388780000
2010-09-14,9.507500,9.613214,9.482857,9.573571,8.115325,408150400
2010-09-15,9.577500,9.656429,9.565714,9.650714,8.180717,429368800
2010-09-16,9.651429,9.881071,9.625000,9.877500,8.372954,652103200
2010-09-17,9.917500,9.927143,9.774286,9.834643,8.336627,634477200
2010-09-20,9.860000,10.135000,9.851786,10.115357,8.574584,658677600
2010-09-21,10.137857,10.262500,10.099643,10.134643,8.590929,668074400
2010-09-22,10.096786,10.285000,10.086071,10.276786,8.711424,585289600
2010-09-23,10.226071,10.455714,10.214286,10.318571,8.746844,786116800
2010-09-24,10.432143,10.483214,10.376786,10.440000,8.849779,649488000
2010-09-27,10.499286,10.526071,10.393214,10.398571,8.814657,482834800
2010-09-28,10.420357,10.420357,9.821429,10.245000,8.684478,1035042400
2010-09-29,10.258214,10.350357,10.214286,10.263214,8.699922,469644000
2010-09-30,10.321429,10.357143,10.044643,10.133929,8.590326,673391600
2010-10-01,10.219643,10.235000,10.048214,10.090000,8.553086,448142800
2010-10-04,10.057143,10.103571,9.920357,9.951429,8.435624,435302000
2010-10-05,10.071429,10.337500,10.065000,10.319286,8.747449,501967200
2010-10-06,10.342500,10.428214,10.187857,10.328214,8.755017,670868800
2010-10-07,10.369286,10.374286,10.246786,10.329286,8.755925,408399600
2010-10-08,10.418214,10.517857,10.357143,10.502500,8.902758,658403200
2010-10-11,10.526429,10.615714,10.521429,10.548571,8.941813,427753200
2010-10-12,10.550357,10.696429,10.446071,10.662143,9.038082,558544000
2010-10-13,10.721429,10.784286,10.707143,10.719286,9.086520,630092400
2010-10-14,10.774643,10.802500,10.728571,10.796786,9.152222,435296400
2010-10-15,10.980000,11.250000,10.889643,11.240714,9.528527,922194000
2010-10-18,11.373929,11.392857,11.224643,11.357143,9.627222,1093010800
2010-10-19,10.835714,11.206071,10.715000,11.053214,9.369586,1232784000
2010-10-20,11.035714,11.223214,10.959643,11.090357,9.401070,721624400
2010-10-21,11.155714,11.240714,10.957143,11.054286,9.370494,551460000
2010-10-22,11.038214,11.072857,10.939286,10.981071,9.308435,372778000
2010-10-25,11.038929,11.128571,11.015714,11.030000,9.349909,392462000
2010-10-26,10.959643,11.062143,10.916071,11.001786,9.325994,392929600
2010-10-27,10.987500,11.067857,10.914286,10.993929,9.319332,399002800
2010-10-28,10.998214,11.000000,10.746429,10.901429,9.240916,551051200
2010-10-29,10.865357,10.924286,10.745357,10.749286,9.111950,430511200
2010-11-01,10.793571,10.914286,10.792857,10.863571,9.208831,423889200
2010-11-02,10.964286,11.078214,10.964286,11.048571,9.365649,433930000
2010-11-03,11.120357,11.174286,11.018929,11.171429,9.469794,508348400
2010-11-04,11.266071,11.435000,11.251071,11.366786,9.635396,642488000
2010-11-05,11.356786,11.413214,11.312500,11.326071,9.600879,361253200
2010-11-08,11.328571,11.420357,11.312857,11.379286,9.645989,281758400
2010-11-09,11.466071,11.475000,11.232143,11.288571,9.569092,383544000
2010-11-10,11.308571,11.384643,11.198214,11.358214,9.628128,384227200
2010-11-11,11.250000,11.371429,11.223214,11.308929,9.586356,361284000
2010-11-12,11.285714,11.303571,10.843929,11.001071,9.325386,795846800
2010-11-15,11.016429,11.090714,10.938214,10.965714,9.295415,403606000
2010-11-16,10.918571,10.985714,10.690000,10.771071,9.130422,657650000
2010-11-17,10.757143,10.856786,10.634286,10.732143,9.097421,479449600
2010-11-18,10.900000,11.059643,10.881786,11.015357,9.337497,494491200
2010-11-19,10.998929,11.014286,10.901429,10.954643,9.286027,384843200
2010-11-22,10.952857,11.191429,10.923929,11.191429,9.486746,393075200
2010-11-23,11.087500,11.133929,10.948571,11.026071,9.346577,519447600
2010-11-24,11.142857,11.264286,11.133929,11.242857,9.530343,413725200
2010-11-26,11.205000,11.346429,11.176429,11.250000,9.536395,237585600
2010-11-29,11.267857,11.338571,11.120714,11.316786,9.593009,445785200
2010-11-30,11.197857,11.227143,11.102500,11.112500,9.419839,501858000
2010-12-01,11.259643,11.348214,11.250000,11.300000,9.578782,461750800
2010-12-02,11.340357,11.392857,11.246071,11.362500,9.631764,462837200
2010-12-03,11.321786,11.380357,11.297857,11.337143,9.610267,342092800
2010-12-06,11.380000,11.511786,11.372143,11.433929,9.692311,448481600
2010-12-07,11.564286,11.571071,11.361429,11.364643,9.633578,391454000
2010-12-08,11.415357,11.465000,11.325357,11.464643,9.718347,321935600
2010-12-09,11.504643,11.517857,11.393571,11.420000,9.680501,294151200
2010-12-10,11.416071,11.466071,11.378571,11.448571,9.704724,262511200
2010-12-13,11.584643,11.609286,11.464286,11.488214,9.738326,439815600
2010-12-14,11.490357,11.519286,11.392857,11.438929,9.696550,351008000
2010-12-15,11.428571,11.535714,11.399643,11.441429,9.698668,417312000
2010-12-16,11.467500,11.521786,11.432143,11.473214,9.725611,322030800
2010-12-17,11.486786,11.492500,11.436786,11.450357,9.706231,386929200
2010-12-20,11.485714,11.544643,11.365357,11.507500,9.754672,385610400
2010-12-21,11.535714,11.585357,11.501786,11.578571,9.814920,256354000
2010-12-22,11.584286,11.632857,11.555357,11.612857,9.843982,265921600
2010-12-23,11.607143,11.612500,11.541786,11.557143,9.796756,223157200
2010-12-27,11.530357,11.622857,11.482857,11.595714,9.829449,249816000
2010-12-28,11.639643,11.666429,11.609286,11.623929,9.853370,175924000
2010-12-29,11.650714,11.658929,11.610714,11.617500,9.847920,163139200
2010-12-30,11.624286,11.625357,11.537500,11.559286,9.798570,157494400
2010-12-31,11.533929,11.552857,11.475357,11.520000,9.765269,193508000
2011-01-03,11.630000,11.795000,11.601429,11.770357,9.977495,445138400
